num_labo;long;lat;alt
4528;55.29602432;-21.09770438;0.000
8166;55.31831990;-21.20548491;0.000
8092;55.31666939;-21.20167079;0.000
4471;55.29424126;-21.06694410;0.000
8590;55.29911870;-21.02633774;0.000
4441;55.27072708;-21.06332540;0.000
4348;55.27884171;-21.08575357;0.000
8438;55.31101200;-21.02538211;0.000
7733;55.31449462;-21.20138495;0.000
7974;55.31879398;-21.22383939;0.000
8160;55.31653285;-21.15358230;0.000
7738;55.30340818;-21.23272959;0.000
8164;55.29790931;-21.18689889;0.000
7982;55.33648025;-21.20910749;0.000
4262;55.25286606;-21.06194265;0.000
7861;55.29617374;-21.21898568;0.000
8573;55.29486899;-21.05411309;0.000
8147;55.31686325;-21.15983076;0.000
8285;55.29141850;-21.05324509;0.000
8410;55.28658057;-21.05137239;0.000
8478;55.35223163;-20.96581886;0.000
7818;55.33174317;-21.21196311;0.000
8151;55.32614404;-21.20195451;0.000
8059;55.33072320;-21.21097233;0.000
8216;55.31966290;-21.18570190;0.000
8372;55.34032901;-20.99304849;0.000
7903;55.31156674;-21.20318440;0.000
7878;55.30099176;-21.13418495;0.000
8540;55.31841402;-21.02860221;0.000
4370;55.28608030;-21.06759071;0.000
8022;55.30965586;-21.18698277;0.000
8328;55.35128622;-20.96792443;0.000
4579;55.27623016;-21.07511467;0.000
7771;55.33888432;-21.20741542;0.000
4506;55.27201257;-21.07722295;0.000
8574;55.27370989;-21.04489737;0.000
4475;55.23978784;-21.06332028;0.000
8586;55.29374829;-21.02828488;0.000
4605;55.28192302;-21.08851956;0.000
4418;55.28498511;-21.07130176;0.000
4342;55.29110067;-21.08755560;0.000
7997;55.31440102;-21.18810036;0.000
7786;55.31629319;-21.19371549;0.000
8363;55.30297789;-21.05084722;0.000
7860;55.29550364;-21.22780636;0.000
8067;55.32690052;-21.21611176;0.000
8110;55.32464621;-21.20107923;0.000
4375;55.28294395;-21.10393238;0.000
8121;55.31688958;-21.19691775;0.000
8331;55.33873185;-21.02026834;0.000
7749;55.30679537;-21.20552992;0.000
7795;55.33029598;-21.21176968;0.000
8622;55.28962074;-21.04871033;0.000
8266;55.29701686;-21.06018949;0.000
7840;55.32232697;-21.19437573;0.000
8473;55.31386695;-21.02404718;0.000
7886;55.32660290;-21.18971926;0.000
8396;55.31792278;-21.02702836;0.000
7817;55.29153009;-21.21127242;0.000
4559;55.24192818;-21.05620369;0.000
4327;55.24961245;-21.08237322;0.000
4516;55.28213047;-21.09122007;0.000
4369;55.29348979;-21.08377339;0.000
4247;55.30711442;-21.07801016;0.000
4510;55.29333569;-21.11739547;0.000
4295;55.29605894;-21.09377965;0.000
8645;55.29433714;-21.06853379;0.000
7819;55.30905353;-21.18767886;0.000
8638;55.33043993;-21.01726687;0.000
8170;55.31172746;-21.17807182;0.000
4458;55.26865524;-21.06277300;0.000
4545;55.30282020;-21.12325877;0.000
8575;55.32047783;-21.01510123;0.000
4549;55.31271655;-21.08543705;0.000
8509;55.31682570;-21.00906873;0.000
8187;55.31542777;-21.18603099;0.000
8375;55.30267560;-21.07289601;0.000
7965;55.32890449;-21.21420842;0.000
4520;55.27724251;-21.06478830;0.000
4416;55.28547040;-21.07054187;0.000
8411;55.29542215;-21.05802074;0.000
8397;55.30344488;-21.03448796;0.000
7788;55.32040927;-21.21343774;0.000
7783;55.30689597;-21.22615259;0.000
