,codtrait,id_bassin,datesimul,nomplante,dmbaer,dmstm,dmsug,etm,etp,etr,irdose,jat,nage,pari,rr,rg,sdj,sug_stm,tmo,tn,tx,yldcan,lai,ei,kcp,stmo,stmot,swdf1,swdf2,swdef,mst,swdfpart1,trp,runoff,srunoff,runofft,srunofft,par,spar,spari,sparit,drain,sdrain,sdraint,sddbla,sddblat,setp,setm,setr,setpt,setmt,setrt,dmrac,tmp,strpt,strp,stmp,stmpt,stock,stockfr,stockm,htvd,spr,stockevap,swdefm,swdf1m,swdf2m,swdeft,swdf1t,swdf2t,tableclimat,id_session
21,1,1,2017-12-24,R570,0.45376887298325,0,0,2.2199778464039,2.11,2.1797005955975,0,0,21,0.021748388803618,1.7,10.14,204.7,0,21.05,16.1,26.0,0,0.0089187756575921,0.004289623038189,0.055760174106306,456.7,0,1,1,0.25492520758853,0.72004760548892,1.0315,0.077376716557891,0,0.576,0,0,5.07,149.25,0.24612857535932,0,0,87.257112249067,0,204.7,0,63.54,63.217748315328,62.442593823343,0,0,0,0.072004760548892,0.11765396736431,0,0.61839125590351,1.3935457478893,0,96.42429392759,25.492520758853,136.18140617666,3.995,46.7,9.9339805825243,0.0065994060663724,0.057377049180328,0.057377049180328,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
22,1,1,2017-12-25,R570,0.50725736834161,0,0,2.8547565229551,2.71,2.8072323206397,15,0,22,0.028960443641403,6.1,13.03,214.65,0,21.95,16.5,27.4,0,0.0092429543172705,0.0044451947262323,0.057250764660091,478.65,0,1,1,0.28624248914692,0.80489729413961,1.0585,0.10762536991351,0.124,0.7,0,0,6.515,155.765,0.27508901900073,0,17.40029392759,104.65740617666,0,214.65,0,66.25,66.072504838284,65.249826143982,0,0,0,0.080489729413961,0.15514957222885,0,0.72601662581702,1.5486953201181,0,97.19276767936,28.624248914692,154.35017385602,4.2425,52.8,9.9339805825243,0.0073814893700525,0.060109289617486,0.060109289617486,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
23,1,1,2017-12-26,R570,0.60508631817562,0,0,4.9657882297594,4.71,4.8563553325627,0,0,23,0.051550949327234,19.7,22.14,226.15,0,23.5,17.1,29.9,0,0.0096840091366993,0.0046568156573834,0.0582819501355,502.15,0,1,1,0.29820079438641,0.96006641972362,1.105,0.16507508794148,0.668,1.368,0,0,11.07,166.835,0.32663996832796,0,16.22476767936,120.88217385602,0,226.15,0,70.96,71.038293068043,70.106181476545,0,0,0,0.096006641972362,0.2745079851382,0,0.8910917137585,1.8232033052563,0,95.143644667437,29.820079438641,168.52581852345,4.5675,72.5,9.9339805825243,0.0081962456388679,0.062841530054645,0.062841530054645,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
24,1,1,2017-12-27,R570,0.65955476424669,0,0,2.4381869117788,2.31,2.4352390550104,15,0,24,0.029354322323649,23.3,11.64,236.65,0,22.5,17.6,27.4,0,0.010490581679693,0.0050436979937541,0.059656293529996,524.65,0,1,1,0.38767524649681,1.0464545325367,1.075,0.13485818128589,0.812,2.18,0,0,5.82,172.655,0.35599429065161,0,32.631644667437,153.51381852345,0,236.65,0,73.27,73.476479979822,72.541420531556,0,0,0,0.10464545325367,0.13780603805429,0,1.0259498950444,1.9610093433106,0,97.56476094499,38.767524649681,203.57857946844,4.8425,95.8,9.9339805825243,0.0092554676238318,0.065573770491803,0.065573770491803,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
25,1,1,2017-12-28,R570,0.72262387167391,0,0,2.8660418584896,2.71,2.8531117701217,0,0,25,0.033946991374788,1.3,12.91,247.1,0,22.45,17.3,27.6,0,0.010939626579816,0.0052590226761872,0.062090971705129,547.1,0,1,1,0.38122604123567,1.1464757656703,1.0735,0.15533644495303,0,2.18,0,0,6.455,179.11,0.3899412820264,0,0,153.51381852345,0,247.1,0,75.98,76.342521838311,75.394532301677,0,0,0,0.11464757656703,0.1682665333209,0,1.1812863399974,2.1292758766315,0,96.011649174868,38.122604123567,202.02546769832,5.115,97.1,9.9339805825243,0.010297068829394,0.068306010928962,0.068306010928962,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
26,1,1,2017-12-29,R570,0.8328351566178,0,0,4.7747455552425,4.51,4.7157893936644,15,0,26,0.057919443377159,0.3,21.03,258.8,0,23.7,17.2,30.2,0,0.011459533112986,0.0055082685094778,0.06340593637888,570.8,0,1,1,0.38749304146,1.321236190499,1.111,0.22700461149066,0,2.18,0,0,10.515,189.625,0.44786072540356,0,11.311649174868,164.82546769832,0,258.8,0,80.49,81.117267393554,80.110321695342,0,0,0,0.1321236190499,0.28596077306875,0,1.4082909514881,2.4152366497003,0,95.284210606336,38.749304146,212.60967830466,5.45,97.4,9.9339805825243,0.011355792986388,0.07103825136612,0.07103825136612,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
27,1,1,2017-12-30,R570,0.90787271024661,0,0,3.0845055262038,2.91,3.0768847094213,0,0,27,0.039673559940555,5.1,13.35,270.3,0,23.5,17.8,29.2,0,0.012367921171952,0.0059436044854764,0.064895134016522,594.3,0,1,1,0.4044825095151,1.4402112348161,1.105,0.18122402320555,0.084,2.264,0,0,6.675,196.3,0.48753428534411,0,0.30021060633558,165.12567830466,0,270.3,0,83.4,84.201772919758,83.187206404763,0,0,0,0.14402112348161,0.18884483998808,0,1.5895149746936,2.6040814896883,0,96.923115290579,40.44825095151,214.54879359524,5.775,102.5,9.9339805825243,0.012460936455009,0.073770491803279,0.073770491803279,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
28,1,1,2017-12-31,R570,0.94089472639874,0,0,1.4338349651219,1.35,1.4338349651219,15,0,28,0.01787721426016,5.5,5.73,280.9,0,22.6,18.5,26.7,0,0.01298633752499,0.0062398653613125,0.067418180268324,616.9,0,1,1,0.45555923753925,1.4925668507579,1.078,0.091014543362238,0.1,2.364,0,0,2.865,199.165,0.50541149960427,0,17.323115290579,182.44879359524,0,280.9,0,84.75,85.63560788488,84.621041369885,0,0,0,0.14925668507579,0.091014543362238,0,1.6805295180559,2.6950960330506,0,98.566165034878,45.555923753925,233.51495863012,6.055,108,9.9339805825243,0.013705633825335,0.076502732240437,0.076502732240437,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
29,1,1,2018-01-01,R570,1.0377319422027,0,0,3.7435165019586,3.52,3.7339385287407,0,0,29,0.05175794135657,0.0,16.25,291.55,0,22.65,17.0,28.3,0,0.013258474115193,0.0063702081669624,0.069083131373974,639.55,0,1,1,0.42969053197282,1.6460817785596,1.0795,0.23359464921849,0,2.364,0,0,8.125,207.29,0.55716944096084,0,0,182.44879359524,0,291.55,0,88.27,89.379124386838,88.354979898626,0,0,0,0.16460817785596,0.24317262243639,0,1.9141241672744,2.938268655487,0,94.832226506137,42.969053197282,229.78102010137,6.3375,108,9.9339805825243,0.014879651672255,0.079234972677596,0.079234972677596,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
30,1,1,2018-01-02,R570,1.1565669973669,0,0,4.4266646282093,4.16,4.4160179584027,15,0,30,0.06259374327442,5.8,18.54,303.5,0,23.95,18.5,29.4,0,0.014056413856802,0.0067522916153635,0.069803217958297,663.5,0,1,1,0.45677786061872,1.834442293524,1.1185,0.2797347169,0.112,2.476,0,0,9.27,216.56,0.61976318423526,0,15.520226506137,197.96902010137,0,303.5,0,92.43,93.805789015047,92.770997857028,0,0,0,0.1834442293524,0.29038138670652,0,2.1938588841744,3.2286500421935,0,95.583982041597,45.677786061872,246.05300214297,6.685,113.8,9.9339805825243,0.016127678613836,0.081967213114754,0.081967213114754,0,0,0,mosiweb.mos_meteo_parcelle,suo1ti8rFSesaGmYkbqLZMIF3KtNlvmrHCvgq8AV
