treatcode	obsdate	swc1	swc2	swc3	swc4	swc5	swc6
GVER-1-0-AAA-R570	0027-01-20	0.394446	0.394446	0.394446	0.394446	0.394446	0.394446
GVER-1-0-AAA-R570	0027-05-20	0.3094413	0.3094413	0.3094413	0.3094413	0.3094413	0.3094413
GVER-1-0-AAA-R570	0028-10-20	0.389805	0.389805	0.389805	0.389805	0.389805	0.389805
GVER-1-0-AAA-R570	0029-03-20	0.3066026	0.3066026	0.3066026	0.3066026	0.3066026	0.3066026
GVER-1-0-AAA-R570	0029-07-20	0.3675977	0.3675977	0.3675977	0.3675977	0.3675977	0.3675977
GVER-1-0-AAA-R570	0029-07-20	0.3404065	0.3404065	0.3404065	0.3404065	0.3404065	0.3404065
GVER-1-0-AAA-R570	0029-12-20	0.395	0.395	0.395	0.395	0.395	0.395
GVER-1-0-AAA-R570	0030-09-20	0.3928033	0.3928033	0.3928033	0.3928033	0.3928033	0.3928033
GVER-1-0-AAA-R570	0030-09-20	0.3856902	0.3856902	0.3856902	0.3856902	0.3856902	0.3856902
TIR1-3-0-SEV-R570	0001-02-19	0.44	0.44	0.487	0.513	0.554	0.565
TIR1-3-0-SEV-R570	0001-03-19	0.436	0.436	0.48	0.508	0.553	0.567
TIR1-3-0-SEV-R570	0001-06-19	0.416	0.416	0.464	0.492	0.529	0.543
TIR1-3-0-SEV-R570	0001-07-19	0.408	0.408	0.46	0.491	0.526	0.531
TIR1-3-0-SEV-R570	0001-08-19	0.443	0.443	0.488	0.511	0.55	0.561
TIR1-3-0-SEV-R570	0001-12-19	0.384	0.384	0.402	0.432	0.481	0.49
TIR1-3-0-SEV-R570	0002-06-19	0.42	0.42	0.466	0.494	0.531	0.544
TIR1-3-0-SEV-R570	0002-07-19	0.435	0.435	0.478	0.5	0.529	0.533
TIR1-3-0-SEV-R570	0002-09-19	0.424	0.424	0.476	0.502	0.532	0.538
TIR1-3-0-SEV-R570	0002-10-19	0.438	0.438	0.48	0.502	0.533	0.543
TIR1-3-0-SEV-R570	0002-11-19	0.4	0.4	0.428	0.464	0.514	0.525
TIR1-3-0-SEV-R570	0002-12-19	0.368	0.368	0.397	0.433	0.481	0.489
TIR1-3-0-SEV-R570	0003-07-19	0.426	0.426	0.471	0.497	0.528	0.533
TIR1-3-0-SEV-R570	0003-09-19	0.41	0.41	0.471	0.5	0.532	0.541
TIR1-3-0-SEV-R570	0003-11-19	0.376	0.376	0.417	0.461	0.511	0.524
TIR1-3-0-SEV-R570	0004-01-19	0.415	0.415	0.467	0.497	0.534	0.548
TIR1-3-0-SEV-R570	0004-02-19	0.439	0.439	0.483	0.512	0.557	0.571
TIR1-3-0-SEV-R570	0004-05-19	0.435	0.435	0.48	0.504	0.542	0.555
TIR1-3-0-SEV-R570	0004-08-19	0.421	0.421	0.472	0.503	0.541	0.557
TIR1-3-0-SEV-R570	0004-09-19	0.391	0.391	0.461	0.495	0.528	0.533
TIR1-3-0-SEV-R570	0004-11-19	0.366	0.366	0.41	0.458	0.51	0.525
