decade;tmind;tmaxd;tmeand;rhmind;rhmaxd;rhmeand;windmeand;windmaxd;radmeand;etomeand;rainfallmeand;wscode
24;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
25;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
26;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
27;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
28;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
29;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
30;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
31;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
32;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
33;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
34;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
35;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
36;23.6;28.3;NA;NA;NA;NA;NA;NA;14.9;3.4;86;97101
1;22.16;28.86;NA;NA;NA;NA;NA;NA;16.56;4.11;2.63;97105
2;21.21;28.54;NA;NA;NA;NA;NA;NA;16.96;4.03;2.62;97105
3;21.61;28.58;NA;NA;NA;NA;NA;NA;18.17;4.35;2.38;97105
4;21.39;28.67;NA;NA;NA;NA;NA;NA;18.39;4.36;1.54;97105
5;21.52;28.52;NA;NA;NA;NA;NA;NA;19.46;4.66;1.52;97105
6;20.91;28.9;NA;NA;NA;NA;NA;NA;20.48;4.8;0.99;97105
7;21.32;29.26;NA;NA;NA;NA;NA;NA;21.31;5.16;0.96;97105
8;21.61;29.36;NA;NA;NA;NA;NA;NA;22.23;5.56;1.39;97105
9;21.63;29.91;NA;NA;NA;NA;NA;NA;22.41;5.55;2.32;97105
10;21.89;30.05;NA;NA;NA;NA;NA;NA;21.67;5.18;2.68;97105
11;22.57;30.31;NA;NA;NA;NA;NA;NA;22.69;5.68;1.94;97105
12;23;30.47;NA;NA;NA;NA;NA;NA;23.83;5.91;1.73;97105
13;23.15;30.77;NA;NA;NA;NA;NA;NA;22.69;5.64;1.89;97105
14;23.7;31.16;NA;NA;NA;NA;NA;NA;23.11;5.68;1.74;97105
15;24.24;31.13;NA;NA;NA;NA;NA;NA;23.77;6.04;1.75;97105
16;24.46;31.36;NA;NA;NA;NA;NA;NA;23.09;6.08;1.69;97105
17;24.7;31.05;NA;NA;NA;NA;NA;NA;22.31;5.76;3.35;97105
18;25.17;31.18;NA;NA;NA;NA;NA;NA;23.21;6.1;1.48;97105
19;24.64;31.18;NA;NA;NA;NA;NA;NA;23.14;5.93;2.76;97105
20;24.56;31.35;NA;NA;NA;NA;NA;NA;23.38;5.98;2.71;97105
21;24.55;31.47;NA;NA;NA;NA;NA;NA;23.44;5.98;4.87;97105
22;24.37;31.62;NA;NA;NA;NA;NA;NA;23.58;5.87;3.71;97105
23;24.46;31.39;NA;NA;NA;NA;NA;NA;22.73;5.77;3.37;97105
24;24.33;31.38;NA;NA;NA;NA;NA;NA;21.84;5.45;5.11;97105
25;24.13;31.72;NA;NA;NA;NA;NA;NA;21.82;5.26;3.62;97105
26;24.45;31.59;NA;NA;NA;NA;NA;NA;21.19;5.16;4.33;97105
27;23.87;31.42;NA;NA;NA;NA;NA;NA;19.6;4.71;4.37;97105
28;23.55;30.93;NA;NA;NA;NA;NA;NA;18.72;4.66;3.8;97105
29;23.5;30.86;NA;NA;NA;NA;NA;NA;16.52;4.02;3.33;97105
30;23.74;30.75;NA;NA;NA;NA;NA;NA;17.08;4.05;3.58;97105
31;22.79;30.61;NA;NA;NA;NA;NA;NA;16.8;3.74;5.46;97105
32;23.35;30.24;NA;NA;NA;NA;NA;NA;15.23;3.58;4.88;97105
33;22.56;30.2;NA;NA;NA;NA;NA;NA;16.67;3.76;2.88;97105
34;23.03;29.7;NA;NA;NA;NA;NA;NA;16.02;3.87;2.72;97105
35;22.5;29.23;NA;NA;NA;NA;NA;NA;15.3;3.76;5.76;97105
36;22.43;29.17;NA;NA;NA;NA;NA;NA;16.02;3.88;3.25;97105
