rainfalldate	rainfall	wscode
10/05/2004	20	1031
11/05/2004	63	1031
12/05/2004	0.7	1031
13/05/2004	0	1031
14/05/2004	0	1031
15/05/2004	0	1031
16/05/2004	0	1031
17/05/2004	0	1031
18/05/2004	0	1031
19/05/2004	0	1031
20/05/2004	0	1031
21/05/2004	0	1031
22/05/2004	0	1031
23/05/2004	0	1031
24/05/2004	0	1031
25/05/2004	0	1031
26/05/2004	0	1031
27/05/2004	0	1031
28/05/2004	0	1031
29/05/2004	0	1031
30/05/2004	0	1031
31/05/2004	0	1031
01/06/2004	0	1031
02/06/2004	0	1031
03/06/2004	0	1031
04/06/2004	0	1031
05/06/2004	0	1031
06/06/2004	0	1031
07/06/2004	0	1031
08/06/2004	0	1031
09/06/2004	0	1031
10/06/2004	0	1031
11/06/2004	0	1031
12/06/2004	0	1031
13/06/2004	0	1031
14/06/2004	0	1031
15/06/2004	0	1031
16/06/2004	0	1031
17/06/2004	0	1031
18/06/2004	0	1031
19/06/2004	0	1031
20/06/2004	0	1031
21/06/2004	0	1031
22/06/2004	0	1031
23/06/2004	0	1031
24/06/2004	0	1031
25/06/2004	0	1031
26/06/2004	0	1031
27/06/2004	0	1031
28/06/2004	0	1031
29/06/2004	0	1031
30/06/2004	0	1031
01/07/2004	0	1031
02/07/2004	0	1031
03/07/2004	0	1031
04/07/2004	0	1031
05/07/2004	0	1031
06/07/2004	0	1031
07/07/2004	0	1031
08/07/2004	0	1031
09/07/2004	0	1031
10/07/2004	0	1031
11/07/2004	0	1031
12/07/2004	0	1031
13/07/2004	0	1031
14/07/2004	0	1031
15/07/2004	0	1031
16/07/2004	0	1031
17/07/2004	0	1031
18/07/2004	0	1031
19/07/2004	0	1031
20/07/2004	0	1031
21/07/2004	0	1031
22/07/2004	0	1031
23/07/2004	0	1031
24/07/2004	0	1031
25/07/2004	0	1031
26/07/2004	0	1031
27/07/2004	0	1031
28/07/2004	0	1031
29/07/2004	0	1031
30/07/2004	0	1031
31/07/2004	0	1031
01/08/2004	0	1031
02/08/2004	0	1031
03/08/2004	0	1031
04/08/2004	0	1031
05/08/2004	0	1031
06/08/2004	0	1031
07/08/2004	0	1031
08/08/2004	0	1031
09/08/2004	0	1031
10/08/2004	0	1031
11/08/2004	0	1031
12/08/2004	0	1031
13/08/2004	0	1031
14/08/2004	0	1031
15/08/2004	0	1031
16/08/2004	0	1031
17/08/2004	0	1031
18/08/2004	0	1031
19/08/2004	0	1031
20/08/2004	0	1031
21/08/2004	0	1031
22/08/2004	0	1031
23/08/2004	0	1031
24/08/2004	0	1031
25/08/2004	0	1031
26/08/2004	0	1031
27/08/2004	0	1031
28/08/2004	0	1031
29/08/2004	0	1031
30/08/2004	0	1031
31/08/2004	0	1031
01/09/2004	0	1031
02/09/2004	0	1031
