decade	rainfallmeand	wscode
16	6.94	97410262
17	6.27	97410262
18	7.38	97410262
19	7.72	97410262
20	9.9	97410262
21	5.86	97410262
22	8.46	97410262
23	8.61	97410262
24	8.91	97410262
25	7.67	97410262
26	7.44	97410262
27	5.01	97410262
28	6.04	97410262
29	6.31	97410262
30	6.81	97410262
31	4.6	97410262
32	3.65	97410262
33	7.68	97410262
34	12.69	97410262
35	9.88	97410262
36	9.36	97410262
1	12.08	97410274
2	8.42	97410274
3	7.33	97410274
4	3.8	97410274
5	25.8	97410274
6	22.22	97410274
7	17.15	97410274
8	9.59	97410274
9	15.06	97410274
10	8.27	97410274
11	16.7	97410274
12	18.19	97410274
13	10.18	97410274
14	7.8	97410274
15	2.56	97410274
16	12.59	97410274
17	1.45	97410274
18	16.34	97410274
19	2.49	97410274
20	2.81	97410274
21	4.14	97410274
22	6.56	97410274
23	4.92	97410274
24	4.88	97410274
25	3.75	97410274
26	4.2	97410274
27	3.09	97410274
28	2.78	97410274
29	7.79	97410274
30	2.41	97410274
31	3.5	97410274
32	2.89	97410274
33	5.7	97410274
34	9.67	97410274
35	9.52	97410274
36	4.33	97410274
1	15.25	97410280
2	15.34	97410280
3	19.82	97410280
4	21.56	97410280
5	16.74	97410280
6	5.12	97410280
7	10.11	97410280
8	9.04	97410280
9	10.45	97410280
10	11.97	97410280
11	10.46	97410280
12	9.3	97410280
13	5.34	97410280
14	8.46	97410280
15	14.02	97410280
16	5.14	97410280
17	9.25	97410280
18	7.83	97410280
19	13.18	97410280
20	11.09	97410280
21	4.71	97410280
22	9.6	97410280
23	10.52	97410280
24	8.65	97410280
25	10.29	97410280
26	12.1	97410280
27	6.27	97410280
28	6.39	97410280
29	7.51	97410280
30	6.36	97410280
31	4.92	97410280
32	3.87	97410280
33	7.38	97410280
34	10.91	97410280
35	8.37	97410280
36	9.57	97410280
1	3.73	97411102
2	3.68	97411102
3	5.4	97411102
4	6.53	97411102
5	7.66	97411102
6	6.9	97411102
7	5.32	97411102
8	5.02	97411102
9	3.25	97411102
10	1.01	97411102
11	2.02	97411102
12	2.75	97411102
13	2.47	97411102
14	1.4	97411102
15	1.89	97411102
16	0.95	97411102
17	1.04	97411102
18	0.75	97411102
19	0.54	97411102
20	0.68	97411102
