obsplantdate;obsplantlib;obsplantval;varcyclecode
17/02/2010;mftu;59.56667;DSES-1-0-AAA-R570
31/05/2005;mslv;5.40881;BCSU-0-0-IRR-RB72454
31/05/2005;mstu;33.00029;BCSU-0-0-IRR-RB72454
31/05/2005;nblts;24.417;BCSU-0-0-IRR-RB72454
31/05/2005;nblvs;6;BCSU-0-0-IRR-RB72454
31/05/2005;nbtigv;6.905;BCSU-0-0-IRR-RB72454
31/05/2005;nbtv;6.905;BCSU-0-0-IRR-RB72454
27/07/2005;htvds;263.708;BCSU-0-0-IRR-RB72454
31/03/2010;mftu;91.38889;DSES-1-0-AAA-R570
27/07/2005;mslv;5.75246;BCSU-0-0-IRR-RB72454
27/07/2005;mstu;36.33637;BCSU-0-0-IRR-RB72454
27/07/2005;nblts;28.458;BCSU-0-0-IRR-RB72454
27/07/2005;nblvs;5.708;BCSU-0-0-IRR-RB72454
27/07/2005;nbtigv;6.825;BCSU-0-0-IRR-RB72454
27/07/2005;nbtv;6.825;BCSU-0-0-IRR-RB72454
27/09/2005;htvds;283.625;BCSU-0-0-IRR-RB72454
27/09/2005;lai;4.131;BCSU-0-0-IRR-RB72454
27/09/2005;mftu;154.12;BCSU-0-0-IRR-RB72454
25/05/2010;mftu;103.04444;DSES-1-0-AAA-R570
27/09/2005;mslv;6.26342;BCSU-0-0-IRR-RB72454
27/09/2005;mstu;39.60657;BCSU-0-0-IRR-RB72454
27/09/2005;nblts;33.83;BCSU-0-0-IRR-RB72454
27/09/2005;nblvs;7.917;BCSU-0-0-IRR-RB72454
27/09/2005;nbtigv;7.183;BCSU-0-0-IRR-RB72454
27/09/2005;nbtv;7.183;BCSU-0-0-IRR-RB72454
10/12/2004;htvds;7.338;BCSU-0-0-IRR-SP832847
10/12/2004;lai;0.02;BCSU-0-0-IRR-SP832847
10/12/2004;mftu;0;BCSU-0-0-IRR-SP832847
19/07/2010;mftu;94.71111;DSES-1-0-AAA-R570
10/12/2004;mslv;0.02983;BCSU-0-0-IRR-SP832847
10/12/2004;mstu;0;BCSU-0-0-IRR-SP832847
10/12/2004;nbtigv;2.048;BCSU-0-0-IRR-SP832847
10/12/2004;nbtv;2.048;BCSU-0-0-IRR-SP832847
05/01/2005;htvds;20.458;BCSU-0-0-IRR-SP832847
05/01/2005;nblts;7.209;BCSU-0-0-IRR-SP832847
05/01/2005;nblvs;6.292;BCSU-0-0-IRR-SP832847
05/01/2005;nbtv;5.159;BCSU-0-0-IRR-SP832847
24/01/2005;htvds;40.292;BCSU-0-0-IRR-SP832847
24/01/2005;nblts;10.459;BCSU-0-0-IRR-SP832847
24/01/2005;nblvs;6.917;BCSU-0-0-IRR-SP832847
24/01/2005;nbtv;6.706;BCSU-0-0-IRR-SP832847
15/02/2005;htvds;67;BCSU-0-0-IRR-SP832847
13/09/2010;mftu;106.65556;DSES-1-0-AAA-R570
15/02/2005;mslv;1.7142;BCSU-0-0-IRR-SP832847
15/02/2005;mstu;3.82514;BCSU-0-0-IRR-SP832847
15/02/2005;nblts;12.875;BCSU-0-0-IRR-SP832847
15/02/2005;nblvs;6.083;BCSU-0-0-IRR-SP832847
15/02/2005;nbtigv;7.183;BCSU-0-0-IRR-SP832847
15/02/2005;nbtv;7.183;BCSU-0-0-IRR-SP832847
07/03/2005;htvds;99.833;BCSU-0-0-IRR-SP832847
07/03/2005;lai;2.749;BCSU-0-0-IRR-SP832847
07/03/2005;mftu;35.31;BCSU-0-0-IRR-SP832847
15/11/2010;mftu;9.42222;DSES-1-0-AAA-R570
07/03/2005;mslv;2.51139;BCSU-0-0-IRR-SP832847
07/03/2005;mstu;8.72121;BCSU-0-0-IRR-SP832847
07/03/2005;nblts;16.333;BCSU-0-0-IRR-SP832847
07/03/2005;nblvs;7.875;BCSU-0-0-IRR-SP832847
07/03/2005;nbtigv;7.103;BCSU-0-0-IRR-SP832847
07/03/2005;nbtv;7.103;BCSU-0-0-IRR-SP832847
11/04/2005;htvds;162.167;BCSU-0-0-IRR-SP832847
11/04/2005;nblts;20.834;BCSU-0-0-IRR-SP832847
11/04/2005;nblvs;8.792;BCSU-0-0-IRR-SP832847
11/04/2005;nbtv;8.492;BCSU-0-0-IRR-SP832847
31/05/2005;htvds;212.5;BCSU-0-0-IRR-SP832847
31/05/2005;lai;4.782;BCSU-0-0-IRR-SP832847
17/02/2010;mftu;53.74444;DSES-1-0-AAA-R579
31/05/2005;mslv;5.43681;BCSU-0-0-IRR-SP832847
31/05/2005;mstu;27.3845;BCSU-0-0-IRR-SP832847
31/05/2005;nblts;25.083;BCSU-0-0-IRR-SP832847
31/05/2005;nblvs;6.125;BCSU-0-0-IRR-SP832847
31/05/2005;nbtigv;7.421;BCSU-0-0-IRR-SP832847
31/05/2005;nbtv;7.421;BCSU-0-0-IRR-SP832847
27/07/2005;htvds;240.625;BCSU-0-0-IRR-SP832847
31/03/2010;mftu;111.51111;DSES-1-0-AAA-R579
27/07/2005;mslv;6.15639;BCSU-0-0-IRR-SP832847
27/07/2005;mstu;31.9385;BCSU-0-0-IRR-SP832847
27/07/2005;nblts;28.625;BCSU-0-0-IRR-SP832847
27/07/2005;nblvs;6.667;BCSU-0-0-IRR-SP832847
27/07/2005;nbtigv;7.619;BCSU-0-0-IRR-SP832847
27/07/2005;nbtv;7.619;BCSU-0-0-IRR-SP832847
04/08/2005;nbtv;0;BCSU-0-0-IRR-SP832847
27/09/2005;htvds;282;BCSU-0-0-IRR-SP832847
27/09/2005;lai;4.804;BCSU-0-0-IRR-SP832847
27/09/2005;mftu;142.269;BCSU-0-0-IRR-SP832847
25/05/2010;mftu;110.28889;DSES-1-0-AAA-R579
27/09/2005;mslv;7.08042;BCSU-0-0-IRR-SP832847
