wsname;x_wgs84;y_wgs84;wslat;wslong;wsalt;wscode;countrycode;wstype
BRAS PISTOLET;352282.803;7681234.341;-20.96352;55.579124;555;97420180;RE;M
GRAND-ILET (BRGM);340172.418;7675428.658;-21.014948;55.462129;1185;97421220;RE;M
BELOUVE;348224.732;7670435.993;-21.060728;55.539149;1500;97421260;RE;M
PITON ROUGE;352566.805;7657125.153;-21.181315;55.579788;1690;97422430;RE;M
PLAINE DES CAFRES;351650.458;7655157.136;-21.199017;55.570792;1550;97422440;RE;M
Berive-Syp tout interpo;NA;NA;-21.3025;55.5433;665;974005;RE;M
Berive-Syp Etp interpo;NA;NA;-21.3025;55.5433;665;974004;RE;M
GP Fromager;NA;NA;16.164722;-61.467222;100;97100;GP;M
Ayr- Agmip;NA;NA;-19.6;147.43;11;501;AU;M
Sancarlos- Agmip;NA;NA;-2.2088;-79.433;44;502;EC;M
Piracicaba- Agmip;NA;NA;-22.8833;-47.5;560;503;BR;M
Ingham- Agmip;NA;NA;-18.7;146.2;16;504;AU;M
Lamercy- Agmip;NA;NA;-29.57;31.13;72;505;ZA;M
Komatipoort- Agmip;NA;NA;-25.6165;31.866;187;506;ZA;M
Houma- Agmip;NA;NA;29.6374;-90.8395;2;507;US;M
Chiredzi- Agmip;NA;NA;-21.3;31.6;420;508;ZM;M
ISAUTIER BERIVE;347237.256;7641099.49;-21.325626;55.527023;561;97416468;RE;M
CAP BERNARD (DDE);335889.298;7690796.888;-20.875761;55.422383;8;97411103;RE;R
LA CHALOUPE SAINT LEU;324935.639;7661530.491;-21.139083;55.31415;877;97413530;RE;R
FERME CORAIL;321480.429;7660197.06;-21.150792;55.280749;4;97413536;RE;R
FERME AUTRUCHE;322767.683;7653689.727;-21.209688;55.292467;90;97413555;RE;R
LE PLATE;327092.656;7654168.781;-21.205777;55.334171;740;97413566;RE;R
RIVIERE SAINT LOUIS;338227.648;7647642.218;-21.265749;55.440797;195;97414440;RE;R
LE GOL;334091.643;7646127.2;-21.279059;55.400797;40;97414456;RE;R
SAINT LOUIS;335484.148;7645953.405;-21.280756;55.414199;34;97414462;RE;R
BOIS DE NEFLES SAINT PAUL (CIRAD);327573;7677208;-20.997739;55.341111;600;97415516;RE;R
BERNICA;321343.572;7672563.233;-21.039094;55.280718;388;97415522;RE;R
TAN ROUGE;323368;7670647;-21.056596;55.299997;650;97415541;RE;R
SAINT GILLES LES BAINS;315497.998;7669175.882;-21.069107;55.224121;5;97415544;RE;R
MUSEE DE VILLELE;319461.993;7670693.274;-21.055798;55.262421;370;97415551;RE;R
PALMISTE GUILLAUME;325886.743;7669656.59;-21.065782;55.32413;1000;97415557;RE;R
VUE BELLE (ERCANE);322633;7667831;-21.081958;55.292635;720;97415579;RE;R
LE TREMBLET;375273.463;7644289.78;-21.298958;55.79754;90;97417340;RE;R
SAINT PHILIPPE;371699.34;7637242.707;-21.362366;55.762554;27;97417380;RE;R
BOIS COURT SAINTE MARIE;350317.056;7686873.289;-20.912425;55.560707;175;97418140;RE;R
BEAUFONDS SAINTE MARIE;350165.989;7685211.316;-20.927425;55.559111;225;97418150;RE;R
MOKA;345485.381;7685167.343;-20.927437;55.514107;250;97418160;RE;R
MONTAUBAN;343759.034;7684043.71;-20.937441;55.497408;410;97418165;RE;R
PLAINE DES FOUGERES;347085.778;7680942.454;-20.965732;55.52912;1020;97418170;RE;R
RIVIERE DE L'EST (CIRAD);371073;7664056;-21.12011;55.758545;195;97419310;RE;R
HAUTS DE SAINTE ROSE;370659.591;7659197.265;-21.163972;55.754198;820;97419320;RE;R
GRAND-HAZIER;353198;7687684;-20.905333;55.588471;75;97420110;RE;R
TROIS FRERES;354649.8;7687466.268;-20.907415;55.602409;30;97420120;RE;R
BAGATELLE;352072.762;7684863.529;-20.930721;55.577414;260;97420150;RE;R
QUARTIER Francais;357271.616;7685087.366;-20.929108;55.627417;25;97420160;RE;R
MARE A VIEILLE PLACE;345239.551;7673917.038;-21.029036;55.510737;880;97421210;RE;R
HELL-BOURG;346494.442;7669866.03;-21.065732;55.522448;980;97421270;RE;R
PONT D'YVES;344771.534;7651394;-21.232434;55.504194;760;97422455;RE;R
RE Menciol T-Dsab;NA;NA;-20.960708;55.625726;412;103;RE;M
GP ROUJOL;NA;NA;16.11;-61.35;10;97101;GP;M
SAINT BENOIT (CFPPA);365241;7673360;-21.035644;55.703127;100;97410239;RE;R
LA SALINE LES HAUTS (CIRAD);320048;7668277;-21.077678;55.267806;463;97415581;RE;R
