treatcode	obsdate	calage	stagnb	stadnb	stafnb	stahtvd	blatnb	blagnb	blastvd	glai	ei	stamsu	stamfm	stamdm	stamwc	stamsuc	stamfbc	stambjc	stampur	blagdm	bladm	agrfm	agrdm	agrwc	sendm
CCYC-2-0-D3A-R570	19-04-2004	1	-999	-999	-999	-999	16.067	10	-999	-999	-999	-999	-999	-999	-999	11.386	-999	11.386	11.386	-999	-999	-999	-999	-999	-999
CCYC-2-0-D3A-R570	24-03-2004	1	-999	-999	-999	-999	12.867	9.7	-999	-999	-999	-999	-999	-999	-999	8.418	-999	8.418	8.418	-999	-999	-999	-999	-999	-999
CCYC-2-0-D3A-R570	25-02-2004	1	-999	-999	-999	-999	10	9.6	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CCYC-2-0-D3A-R570	25-07-2004	1	-999	-999	-999	-999	21.167	9	-999	-999	-999	-999	-999	-999	-999	16.29	-999	16.29	16.29	-999	-999	-999	-999	-999	-999
CCYC-2-0-D4A-R570	01-06-2004	1	-999	-999	-999	-999	16.875	9.688	-999	-999	-999	-999	-999	-999	-999	12.576	-999	12.576	12.576	-999	-999	-999	-999	-999	-999
CCYC-2-0-D4A-R570	02-11-2004	1	-999	-999	-999	-999	24.875	10.75	-999	-999	-999	-999	-999	-999	-999	18.177	-999	18.177	18.177	-999	-999	-999	-999	-999	-999
CCYC-2-0-D4A-R570	08-09-2004	1	-999	-999	-999	-999	21	9.156	-999	-999	-999	-999	-999	-999	-999	16.57	-999	16.57	16.57	-999	-999	-999	-999	-999	-999
CCYC-2-0-D4A-R570	19-04-2004	1	-999	-999	-999	-999	14	10.25	-999	-999	-999	-999	-999	-999	-999	9.547	-999	9.547	9.547	-999	-999	-999	-999	-999	-999
CCYC-2-0-D4A-R570	24-03-2004	1	-999	-999	-999	-999	10.438	9.438	-999	-999	-999	-999	-999	-999	-999	7.377	-999	7.377	7.377	-999	-999	-999	-999	-999	-999
CCYC-2-0-D4A-R570	25-02-2004	1	-999	-999	-999	-999	7	7	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CCYC-2-0-D4A-R570	25-07-2004	1	-999	-999	-999	-999	19.094	8.844	-999	-999	-999	-999	-999	-999	-999	15.715	-999	15.715	15.715	-999	-999	-999	-999	-999	-999
CP02-0-0-AAA-R570	03-08-1993	1	11.62	-999	-999	-999	18.29	11.88	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-0-0-AAA-R570	04-05-1993	1	12.43	2.7	-999	-999	12.35	11.06	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-0-0-AAA-R570	04-06-1993	1	12.42	2.97	-999	-999	14.76	12.23	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-0-0-AAA-R570	05-03-1993	1	4.47	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-0-0-AAA-R570	06-05-1994	1	-999	-999	-999	-999	39.13	10.07	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-0-0-AAA-R570	06-07-1993	1	12	-999	-999	-999	16.47	11.82	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-0-0-AAA-R570	08-03-1993	1	-999	-999	-999	-999	5.87	5.87	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-0-0-AAA-R570	08-04-1994	1	-999	-999	-999	-999	36.47	9.76	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-0-0-AAA-R570	10-09-1993	1	9.65	-999	-999	-999	20.06	12.12	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-0-0-AAA-R570	13-10-1993	1	8.95	-999	-999	-999	21.88	10.23	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
CP02-0-0-AAA-R570	14-01-1993	1	0.68	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
